City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,chuy,-33.6971,-53.4616,18.33,93,0,3.22,UY,1670284079
173,umm kaddadah,13.6017,26.6876,17.37,27,22,5.82,SD,1670284080
174,brae,60.3964,-1.353,5.74,67,100,10.56,GB,1670284080
175,turukhansk,65.8167,87.9833,-3.89,96,100,7.07,RU,1670284081
176,slave lake,55.2834,-114.769,-21.01,65,40,5.14,CA,1670284081
177,deogarh,21.5333,84.7333,14.04,57,0,1.33,IN,1670284082
178,novomyrhorod,48.7811,31.642,-5.53,66,76,3.88,UA,1670284082
179,bonthe,7.5264,-12.505,25.9,84,56,1.84,SL,1670284083
180,ewa beach,21.3156,-158.0072,28.65,63,0,4.63,US,1670284084
181,kigoma,-4.8769,29.6267,21.32,85,100,3.88,TZ,1670284085
182,bengkulu,-3.8004,102.2655,24.17,89,100,1.15,ID,1670284097
183,ilulissat,69.2167,-51.1,6.01,52,100,6.17,GL,1670283886
184,sorland,67.667,12.6934,1.92,81,100,16.97,NO,1670284099
185,zhangjiakou,40.81,114.8794,-9.42,40,0,2.58,CN,1670284104
186,andenes,69.3143,16.1194,2.99,75,75,12.35,NO,1670284105
187,sinnamary,5.3833,-52.95,25.1,90,70,3.92,GF,1670284108
188,iskateley,67.6803,53.1512,-14.1,92,74,6.09,RU,1670283986
189,punta de bombon,-17.1717,-71.7931,20.12,77,86,1.61,PE,1670284113
190,mayumba,-3.432,10.6554,25.21,88,100,1.38,GA,1670284116
191,kieta,-6.2167,155.6333,27.69,80,89,5.42,PG,1670284117
192,the valley,18.217,-63.0578,26.17,73,20,3.6,AI,1670284117
193,cabo san lucas,22.8909,-109.9124,28.62,64,47,0.45,MX,1670283952
194,boyolangu,-8.1181,111.8935,25.84,82,98,0.35,ID,1670284118
195,lagodekhi,41.8268,46.2767,-0.5,82,89,1.22,GE,1670284118
196,grand gaube,-20.0064,57.6608,23.54,79,52,1.79,MU,1670284119
197,pevek,69.7008,170.3133,-27.2,81,33,0.51,RU,1670284119
198,colac,-38.3333,143.5833,16.21,56,78,1.53,AU,1670284120
199,mao,39.8885,4.2658,13.31,94,0,3.09,ES,1670284120
200,naro moru,-0.1676,37.0213,10.91,93,99,0.77,KE,1670284121
201,pacific grove,36.6177,-121.9166,15.23,80,75,3.58,US,1670283840
202,mariveles,14.4833,120.4833,21.98,79,82,4.21,PH,1670284122
203,port elizabeth,-33.918,25.5701,16.16,87,0,4.12,ZA,1670284122
204,contamana,-7.3333,-75.0167,27.34,62,70,1.28,PE,1670283900
205,sorong,-0.8833,131.25,27.69,78,91,3.36,ID,1670284123
206,yaan,7.3833,8.5667,24.84,19,71,1.35,NG,1670284123
207,ueno,34.75,136.1333,8.99,71,54,4.48,JP,1670284124
208,alofi,-19.0595,-169.9187,25.94,83,75,3.6,NU,1670284124
209,toamasina,-18.1667,49.3833,22.0,94,40,1.54,MG,1670284124
210,marawi,7.9986,124.2928,23.33,79,77,1.0,PH,1670284125
211,rawson,-43.3002,-65.1023,22.67,40,88,7.04,AR,1670284006
212,clarksburg,39.2807,-80.3445,8.06,50,0,0.0,US,1670283947
213,nome,64.5011,-165.4064,-0.96,80,0,9.26,US,1670284126
214,hammerfest,70.6634,23.6821,3.25,87,75,4.63,NO,1670284126
215,shar,49.5886,81.0453,-24.24,100,92,0.68,KZ,1670284127
216,nikolskoye,59.7035,30.7861,-6.06,90,100,3.64,RU,1670284127
217,gimli,50.6336,-96.9907,-21.99,59,50,2.06,CA,1670284128
218,zhuhai,22.2769,113.5678,13.88,82,40,9.26,CN,1670284129
219,xichang,27.8964,102.2634,4.15,83,0,0.63,CN,1670284129
220,kavaratti,10.5669,72.642,27.22,71,65,0.88,IN,1670284130
221,arona,28.0996,-16.681,18.55,78,20,2.06,ES,1670284130
222,whitehorse,60.7161,-135.0538,-14.57,85,75,1.03,CA,1670283938
223,kavieng,-2.5744,150.7967,28.32,73,85,1.64,PG,1670283918
224,dong hoi,17.4833,106.6,17.89,89,100,5.34,VN,1670284131
225,mahebourg,-20.4081,57.7,23.47,94,75,1.54,MU,1670284055
226,dunedin,-45.8742,170.5036,9.89,85,96,3.58,NZ,1670283938
227,nemuro,43.3236,145.575,-1.46,53,0,4.83,JP,1670284131
228,comodoro rivadavia,-45.8667,-67.5,21.92,28,40,12.35,AR,1670284132
229,kirakira,-10.4544,161.9205,29.37,71,100,3.02,SB,1670283998
230,vila franca do campo,37.7167,-25.4333,16.23,84,58,4.16,PT,1670284132
231,kaura namoda,12.5898,6.5779,21.69,16,71,4.31,NG,1670284132
232,road town,18.4167,-64.6167,27.05,78,20,5.66,VG,1670284133
233,salinopolis,-0.6136,-47.3561,26.87,78,100,4.85,BR,1670283978
234,hasaki,35.7333,140.8333,6.23,85,100,10.54,JP,1670284133
235,saldanha,-33.0117,17.9442,14.03,77,80,6.2,ZA,1670284134
236,carnarvon,-24.8667,113.6333,21.98,67,69,6.98,AU,1670283959
237,esperance,-33.8667,121.9,17.46,73,100,3.39,AU,1670284134
238,abnub,27.2696,31.1511,14.12,66,0,5.01,EG,1670284135
239,imeni stepana razina,54.8932,44.2963,-13.11,92,68,1.82,RU,1670284135
240,solano,38.2333,-121.9511,15.6,71,40,5.14,US,1670284136
241,chulman,56.8479,124.9104,-17.8,95,100,2.83,RU,1670284136
242,alice springs,-23.7,133.8833,34.75,11,3,7.2,AU,1670284137
243,lobito,-12.3481,13.5456,25.31,81,100,3.33,AO,1670284137
244,dudinka,69.4058,86.1778,-3.54,95,100,7.13,RU,1670284137
245,adrar,20.5022,-10.0711,23.15,29,8,0.4,MR,1670284138
